# variable: T
# units: $^oC$
date leadtime station lat lon altitude obs
20120101 0 415 49.35 -122.77 0 -6.52
20120101 1 415 49.35 -122.77 0 -5.73
20120101 2 415 49.35 -122.77 0 -5.01
20120101 3 415 49.35 -122.77 0 -5.20
20120101 4 415 49.35 -122.77 0 -4.57
20120101 5 415 49.35 -122.77 0 -3.24
20120101 6 415 49.35 -122.77 0 -2.08
20120101 7 415 49.35 -122.77 0 -1.41
20120101 8 415 49.35 -122.77 0 -0.38
20120101 9 415 49.35 -122.77 0 1.00
20120101 10 415 49.35 -122.77 0 1.12
20120101 11 415 49.35 -122.77 0 1.47
20120101 12 415 49.35 -122.77 0 1.53
20120101 13 415 49.35 -122.77 0 2.49
20120101 14 415 49.35 -122.77 0 1.10
20120101 15 415 49.35 -122.77 0 0.30
20120101 16 415 49.35 -122.77 0 -0.98
20120101 17 415 49.35 -122.77 0 -1.20
20120101 18 415 49.35 -122.77 0 -1.20
20120101 19 415 49.35 -122.77 0 -3.51
20120101 20 415 49.35 -122.77 0 -4.30
20120101 21 415 49.35 -122.77 0 -4.91
20120101 22 415 49.35 -122.77 0 -5.18
20120101 23 415 49.35 -122.77 0 -6.26
20120102 0 415 49.35 -122.77 0 -2.73
20120102 1 415 49.35 -122.77 0 -3.13
20120102 2 415 49.35 -122.77 0 -1.65
20120102 3 415 49.35 -122.77 0 -2.23
20120102 4 415 49.35 -122.77 0 -1.56
20120102 5 415 49.35 -122.77 0 -0.41
20120102 6 415 49.35 -122.77 0 1.56
20120102 7 415 49.35 -122.77 0 2.31
20120102 8 415 49.35 -122.77 0 2.78
20120102 9 415 49.35 -122.77 0 4.89
20120102 10 415 49.35 -122.77 0 5.44
20120102 11 415 49.35 -122.77 0 4.79
20120102 12 415 49.35 -122.77 0 4.21
20120102 13 415 49.35 -122.77 0 4.45
20120102 14 415 49.35 -122.77 0 4.03
20120102 15 415 49.35 -122.77 0 4.12
20120102 16 415 49.35 -122.77 0 2.90
20120102 17 415 49.35 -122.77 0 1.20
20120102 18 415 49.35 -122.77 0 1.21
20120102 19 415 49.35 -122.77 0 -0.38
20120102 20 415 49.35 -122.77 0 -1.00
20120102 21 415 49.35 -122.77 0 -1.53
20120102 22 415 49.35 -122.77 0 -2.35
20120102 23 415 49.35 -122.77 0 -3.66
20120103 0 415 49.35 -122.77 0 -5.03
20120103 1 415 49.35 -122.77 0 -5.37
20120103 2 415 49.35 -122.77 0 -5.00
20120103 3 415 49.35 -122.77 0 -4.04
20120103 4 415 49.35 -122.77 0 -3.28
20120103 5 415 49.35 -122.77 0 -1.78
20120103 6 415 49.35 -122.77 0 -0.89
20120103 7 415 49.35 -122.77 0 0.69
20120103 8 415 49.35 -122.77 0 1.28
20120103 9 415 49.35 -122.77 0 1.71
20120103 10 415 49.35 -122.77 0 2.94
20120103 11 415 49.35 -122.77 0 3.14
20120103 12 415 49.35 -122.77 0 2.26
20120103 13 415 49.35 -122.77 0 1.92
20120103 14 415 49.35 -122.77 0 1.99
20120103 15 415 49.35 -122.77 0 1.32
20120103 16 415 49.35 -122.77 0 0.31
20120103 17 415 49.35 -122.77 0 -0.25
20120103 18 415 49.35 -122.77 0 -1.08
20120103 19 415 49.35 -122.77 0 -2.59
20120103 20 415 49.35 -122.77 0 -2.58
20120103 21 415 49.35 -122.77 0 -3.70
20120103 22 415 49.35 -122.77 0 -4.26
20120103 23 415 49.35 -122.77 0 -5.08
20120104 0 415 49.35 -122.77 0 -6.71
20120104 1 415 49.35 -122.77 0 -6.81
20120104 2 415 49.35 -122.77 0 -6.41
20120104 3 415 49.35 -122.77 0 -5.83
20120104 4 415 49.35 -122.77 0 -4.98
20120104 5 415 49.35 -122.77 0 -4.11
20120104 6 415 49.35 -122.77 0 -2.66
20120104 7 415 49.35 -122.77 0 -1.93
20120104 8 415 49.35 -122.77 0 -1.08
20120104 9 415 49.35 -122.77 0 -0.57
20120104 10 415 49.35 -122.77 0 0.29
20120104 11 415 49.35 -122.77 0 0.92
20120104 12 415 49.35 -122.77 0 1.96
20120104 13 415 49.35 -122.77 0 0.69
20120104 14 415 49.35 -122.77 0 0.91
20120104 15 415 49.35 -122.77 0 0.35
20120104 16 415 49.35 -122.77 0 -1.34
20120104 17 415 49.35 -122.77 0 -1.93
20120104 18 415 49.35 -122.77 0 -2.80
20120104 19 415 49.35 -122.77 0 -4.13
20120104 20 415 49.35 -122.77 0 -3.84
20120104 21 415 49.35 -122.77 0 -5.77
20120104 22 415 49.35 -122.77 0 -6.67
20120104 23 415 49.35 -122.77 0 -6.94
20120105 0 415 49.35 -122.77 0 -8.82
20120105 1 415 49.35 -122.77 0 -8.30
20120105 2 415 49.35 -122.77 0 -8.02
